Sample_NAME,TYPE,COLOR,lty
CC1-FLY1,FLY,black,solid
CC1-FLY10,FLY,black,solid
CC1-FLY11,FLY,black,solid
CC1-FLY12,FLY,black,solid
CC1-FLY13,FLY,black,solid
CC1-FLY14,FLY,black,solid
CC1-FLY15,FLY,black,solid
CC1-FLY16,FLY,black,solid
CC1-FLY17,FLY,black,solid
CC1-FLY18,FLY,black,solid
CC1-FLY19,FLY,black,solid
CC1-FLY2,FLY,black,solid
CC1-FLY20,FLY,black,solid
CC1-FLY21,FLY,black,solid
CC1-FLY22,FLY,black,solid
CC1-FLY23,FLY,black,solid
CC1-FLY24,FLY,black,solid
CC1-FLY25,FLY,black,solid
CC1-FLY3,FLY,black,solid
CC1-FLY4,FLY,black,solid
CC1-FLY5,FLY,black,solid
CC1-FLY6,FLY,black,solid
CC1-FLY7,FLY,black,solid
CC1-FLY9,FLY,black,solid
CC1-NET10,NET,red,dashed
CC1-NET11,NET,red,dashed
CC1-NET12,NET,red,dashed
CC1-NET13,NET,red,dashed
CC1-NET14,NET,red,dashed
CC1-NET15,NET,red,dashed
CC1-NET16,NET,red,dashed
CC1-NET17,NET,red,dashed
CC1-NET18,NET,red,dashed
CC1-NET19,NET,red,dashed
CC1-NET2,NET,red,dashed
CC1-NET20,NET,red,dashed
CC1-NET21,NET,red,dashed
CC1-NET22,NET,red,dashed
CC1-NET23,NET,red,dashed
CC1-NET24,NET,red,dashed
CC1-NET25,NET,red,dashed
CC1-NET3,NET,red,dashed
CC1-NET4,NET,red,dashed
CC1-NET6,NET,red,dashed
CC1-NET7,NET,red,dashed
CC1-NET8,NET,red,dashed
CC1-NET9,NET,red,dashed
CC1-RETR1,RETREAT,orange,longdash
CC1-RETR10,RETREAT,orange,longdash
CC1-RETR11,RETREAT,orange,longdash
CC1-RETR12,RETREAT,orange,longdash
CC1-RETR13,RETREAT,orange,longdash
CC1-RETR14,RETREAT,orange,longdash
CC1-RETR15,RETREAT,orange,longdash
CC1-RETR16,RETREAT,orange,longdash
CC1-RETR17,RETREAT,orange,longdash
CC1-RETR18,RETREAT,orange,longdash
CC1-RETR19,RETREAT,orange,longdash
CC1-RETR2,RETREAT,orange,longdash
CC1-RETR20,RETREAT,orange,longdash
CC1-RETR21,RETREAT,orange,longdash
CC1-RETR22,RETREAT,orange,longdash
CC1-RETR23,RETREAT,orange,longdash
CC1-RETR24,RETREAT,orange,longdash
CC1-RETR3,RETREAT,orange,longdash
CC1-RETR4,RETREAT,orange,longdash
CC1-RETR5,RETREAT,orange,longdash
CC1-RETR6,RETREAT,orange,longdash
CC1-RETR7,RETREAT,orange,longdash
CC1-RETR8,RETREAT,orange,longdash
CC1-RETR9,RETREAT,orange,longdash
CC1-SWAB1,SWAB,blue,dotdash
CC1-SWAB11,SWAB,blue,dotdash
CC1-SWAB12,SWAB,blue,dotdash
CC1-SWAB13,SWAB,blue,dotdash
CC1-SWAB14,SWAB,blue,dotdash
CC1-SWAB15,SWAB,blue,dotdash
CC1-SWAB16,SWAB,blue,dotdash
CC1-SWAB17,SWAB,blue,dotdash
CC1-SWAB18,SWAB,blue,dotdash
CC1-SWAB19,SWAB,blue,dotdash
CC1-SWAB2,SWAB,blue,dotdash
CC1-SWAB20,SWAB,blue,dotdash
CC1-SWAB21,SWAB,blue,dotdash
CC1-SWAB22,SWAB,blue,dotdash
CC1-SWAB23,SWAB,blue,dotdash
CC1-SWAB24,SWAB,blue,dotdash
CC1-SWAB25,SWAB,blue,dotdash
CC1-SWAB3,SWAB,blue,dotdash
CC1-SWAB4,SWAB,blue,dotdash
CC1-SWAB5,SWAB,blue,dotdash
CC1-SWAB6,SWAB,blue,dotdash
CC1-SWAB7,SWAB,blue,dotdash
CC1-SWAB8,SWAB,blue,dotdash
CC1-SWAB9,SWAB,blue,dotdash